指 标,7月,1—7月
绝对量,同比增长（%）,绝对量
一、规模以上工业增加值,…,4.5
分三大门类,,
采矿业,…,-4.2
制造业,…,5.5
电力、热力、燃气及水生产和供应业,…,5.0
分经济类型,,
其中：国有控股企业,…,1.6
其中：股份制企业,…,5.0
外商及港澳台投资企业,…,2.8
其中：私营企业,…,3.7
产品销售率（%）,96.9,-0.6(百分点)
出口交货值（亿元）,14133,10.4
二、服务业生产指数,…,4.3
三、固定资产投资（不含农户）（亿元）,…,…
第一产业,…,…
第二产业,…,…
第三产业,…,…
四、房地产开发,,
房地产开发投资（亿元）,…,…
房屋施工面积（万平方米）,…,…
房屋新开工面积（万平方米）,…,…
房屋竣工面积（万平方米）,…,…
新建商品房销售面积（万平方米）,…,…
新建商品房销售额（亿元）,…,…
商品房待售面积（万平方米）,…,…
房地产开发企业本年到位资金（亿元）,…,…
五、社会消费品零售总额（亿元）,39022,0.6
其中：限额以上单位消费品零售额,14308,-3.4
按经营地分,,
城镇,33780,0.5
乡村,5242,1.6
按消费类型分,,
餐饮收入,4567,1.4
其中：限额以上单位餐饮收入,1352,0.0
商品零售额,34455,0.5
其中：限额以上单位商品零售额,12956,-3.8
六、进出口总额（亿元）,46580,19.2
出口额,27125,17.8
进口额,19454,21.2
七、全国城镇调查失业率（%）,5.2,0.0(百分点)
31个大城市城镇调查失业率,5.2,0.0(百分点)
八、居民消费价格,…,0.5
食品烟酒及在外餐饮,…,-0.8
衣着,…,1.4
居住,…,-0.3
生活用品及服务,…,0.8
交通通信,…,0.4
教育文化娱乐,…,1.3
医疗保健,…,2.9
其他用品及服务,…,5.8
九、工业生产者出厂价格,…,3.5
生产资料,…,4.8
采掘,…,16.4
原材料,…,6.1
加工,…,3.1
生活资料,…,-0.8
食品,…,-2.1
衣着,…,-1.1
一般日用品,…,-1.0
耐用消费品,…,0.4
十、工业生产者购进价格,…,5.5
注：1.规模以上工业增加值及其分类项目增长速度按可比价计算；其他指标除特殊说明外，增长速度均按现价计算。2.进出口数据来源于海关总署。3.失业率累计数据为各月平均值。4.此表中部分数据因四舍五入，存在总计与分项合计不等的情况。5.更加详细数据信息，请见国家统计局官方网站。,,
