province_zh,geo_code,candidate_url,asset_kind,local_sample_path,file_hash_sha256,status,missing_reason,notes
国家,00,https://www.stats.gov.cn/sj/zxfb/202502/t20250228_1958817.html,HTML_TABLE,data/seed_archives/m2_2024_gdp/00_national_gdp_bulletin_2024.html,3e732426d3cbdb84b13168a3fa2daa7aa30663e05d7247e090abd4506aa03e39,FETCHED,,2024 年国民经济和社会发展统计公报；M2-b 633-C 锁 SHA；value=1349084 亿元 +5.0%
北京市,11,https://tjj.beijing.gov.cn/tjsj_31433/tjkd_31444/202503/t20250319_2955569.html,HTML_TABLE,data/seed_archives/m2_2024_gdp/11_beijing_gdp_bulletin_2024.html,073a544f16a1f5216578484eb10b4b1121df9b2ad0f39f46111ca69a14a9b0ee,FETCHED,,M2-c 635-C 锁 SHA；北京市 2024 公报；value= 亿元
天津市,12,https://stats.tj.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://stats.tj.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
上海市,31,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,HTML_TABLE,data/seed_archives/m2_2024_gdp/31_shanghai_gdp_bulletin_2024.html,80aa92406e9846c30b0eea12b4dcce615e51f5c1ca2d224a092d74dae35d06fd,FETCHED,,M2-c 635-C 锁 SHA；上海市 2024 公报；value= 亿元
重庆市,50,https://tjj.cq.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.cq.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
河北省,13,https://tjj.hebei.gov.cn/tjsj/sjkscx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.hebei.gov.cn/tjsj/sjkscx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
山西省,14,https://tjj.shanxi.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.shanxi.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
内蒙古自治区,15,https://tj.nmg.gov.cn/tjyjh/dcsj/,HTML_TABLE,,,BLOCKED,"URL https://tj.nmg.gov.cn/tjyjh/dcsj → fetched 2430 B but no '生产总值' marker (likely search-results page redirect). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：[Safari/macOS] fetched but no '生产总值' marker (2430 B)
辽宁省,21,https://tjj.ln.gov.cn/tjsj/sjcx/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.ln.gov.cn/tjsj/sjcx/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
吉林省,22,https://tjj.jl.gov.cn/tjsj/tjgb/,HTML_TABLE,,,BLOCKED,"URL https://tjj.jl.gov.cn/tjsj/tjgb → directory-only listing (knife 635 §1.C: not acceptable as 表源); bulletin URL 未定位 (e.g. /tjgb/{YYYYMMDD}/{hash}.html). URL is directory-only listing (knife 635 §1.C: not acceptable as 表源); 本机 IP-level TLS reset 由 .gov.cn WAF (Aliyun/网防G01) 阻断, curl + Chrome (playwright) 均 ERR_CONNECTION_RESET, 仅 stats.gov.cn / tjj.beijing.gov.cn / tjj.sh.gov.cn / tjj.shandong.gov.cn / tjj.hubei.gov.cn / tjj.sc.gov.cn 可达. 需用户本地浏览器登录后导出 PDF/HTML 或 从 mrtx.gov.cn/xxgk/statistics 镜像站取.",M2-c 635-C 诚实 BLOCKED：URL is directory-only listing (knife 635 §1.C: not acceptable as 表源)
